"UnitID","Institution Name","ACT_25th_2016","ACT_75th_2016","ACT_25th_2015","ACT_75th_2015","ACT_25th_2014","ACT_75th_2014","ACT_25th_2013","ACT_75th_2013","ACT_25th_2012","ACT_75th_2012","ACT_25th_2011","ACT_75th_2011","ACT_25th_2010","ACT_75th_2010","ACT_MidRange_2016","ACT_MidRange_2015","ACT_MidRange_2014","ACT_MidRange_2013","ACT_MidRange_2012","ACT_MidRange_2011","ACT_MidRange_2010"
199120,"University of North Carolina at Chapel Hill",28,33,28,33,28,32,28,32,27,32,27,31,26,31,30.5,30.5,30,30,29.5,29,28.5
207500,"University of Oklahoma-Norman Campus",23,29,24,29,23,29,23,29,23,29,23,29,23,29,26,26.5,26,26,26,26,26
209551,"University of Oregon",22,27,22,27,22,27,22,27,21,27,22,27,21,27,24.5,24.5,24.5,24.5,24,24.5,24
215293,"University of Pittsburgh-Pittsburgh Campus",27,32,26,31,26,31,26,30,25,30,25,30,25,30,29.5,28.5,28.5,28,27.5,27.5,27.5
218663,"University of South Carolina-Columbia",25,30,25,30,25,29,24,29,24,29,24,29,24,29,27.5,27.5,27,26.5,26.5,26.5,26.5
230764,"University of Utah",21,27,21,28,21,28,21,27,21,27,21,27,21,27,24,24.5,24.5,24,24,24,24
234076,"University of Virginia-Main Campus",29,33,29,33,28,33,29,33,28,32,28,32,28,32,31,31,30.5,31,30,30,30
236948,"University of Washington-Seattle Campus",26,32,26,31,25,31,25,30,24,30,24,30,24,30,29,28.5,28,27.5,27,27,27
240444,"University of Wisconsin-Madison",27,31,27,31,26,31,26,30,26,30,26,30,26,30,29,29,28.5,28,28,28,28
221999,"Vanderbilt University",32,35,32,35,32,34,32,34,32,34,31,34,30,34,33.5,33.5,33,33,33,32.5,32
233921,"Virginia Polytechnic Institute and State University",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,29,NA,NA,NA,NA,NA,NA,27
