"UnitID","Institution Name","instate_tf_cost_2017","oostate_tf_cost_2017","books_supplies_cost_2017","oc_room_and_board_cost_2017","oc_other_cost_2017","instate_tf_cost_2016","oostate_tf_cost_2016","books_supplies_cost_2016","oc_room_and_board_cost_2016","oc_other_cost_2016","instate_tf_cost_2015","oostate_tf_cost_2015","books_supplies_cost_2015","oc_room_and_board_cost_2015","oc_other_cost_2015","instate_tf_cost_2014","oostate_tf_cost_2014","books_supplies_cost_2014","oc_room_and_board_cost_2014","oc_other_cost_2014","instate_tf_cost_2013","oostate_tf_cost_2013","books_supplies_cost_2013","oc_room_and_board_cost_2013","oc_other_cost_2013","instate_tf_cost_2012","oostate_tf_cost_2012","books_supplies_cost_2012","oc_room_and_board_cost_2012","oc_other_cost_2012","instate_tf_cost_2011","oostate_tf_cost_2011","books_supplies_cost_2011","oc_room_and_board_cost_2011","oc_other_cost_2011","instate_tf_cost_2010","oostate_tf_cost_2010","books_supplies_cost_2010","oc_room_and_board_cost_2010","oc_other_cost_2010","instate_coa_2017","oostate_coa_2017","instate_coa_2016","oostate_coa_2016","instate_coa_2015","oostate_coa_2015","instate_coa_2014","oostate_coa_2014","instate_coa_2013","oostate_coa_2013","instate_coa_2012","oostate_coa_2012","instate_coa_2011","oostate_coa_2011","instate_coa_2010","oostate_coa_2010"
171100,"Michigan State University",14460,39406,1084,10026,2908,14062,37890,1076,9784,2368,13560,36360,1068,9524,1896,13200,34965,1060,9204,1886,12862,33750,1044,8856,1886,12622,32580,1026,8526,1854,12202,31148,996,8204,1800,11152,29108,980,7820,1738,28478,53424,27290,51118,26048,48848,25350,47115,24648,45536,24028,43986,23202,42148,21690,39646
220978,"Middle Tennessee State University",8612,26348,1540,8392,4178,8280,25416,1540,8246,4162,8080,24808,1540,8106,4056,7876,24124,1540,7974,4066,7546,23002,1324,7804,4144,7210,21826,1325,7532,3057,6754,20458,2650,14826,2836,6298,18826,1000,7415,3512,22722,40458,22228,39364,21782,38510,21456,37704,20818,36274,19124,33740,27066,40770,18225,30753
176080,"Mississippi State University",8318,22358,1200,9614,5238,7780,20900,1200,9418,5184,7502,20142,1200,9068,5154,7140,18478,1200,8954,5326,6772,16960,1200,8647,5051,6264,15828,1200,8486,4952,5805,14670,1200,8162,4808,5461,13801,1200,7729,4808,24370,38410,23582,36702,22924,35564,22620,33958,21670,31858,20902,30466,19975,28840,19198,27538
199193,"North Carolina State University at Raleigh",9058,27406,1082,10854,2706,8880,26399,1082,10635,2442,8581,24932,1076,10311,2430,8296,23551,1076,10030,3552,8206,21661,1058,9434,3486,7788,20953,1000,8414,3442,7018,19853,1000,8536,2834,6529,19064,1000,8154,2744,23700,42048,23039,40558,22398,38749,22954,38209,22184,35639,20644,33809,19388,32223,18427,30962
204796,"Ohio State University-Main Campus",10592,29696,1168,12292,2985,10037,28229,1234,11706,2870,10037,27365,1234,11706,2602,10037,26537,1248,11820,2680,10037,25757,1248,11740,2454,10037,25445,1248,11182,2452,9735,24630,1602,10782,4752,9420,23604,1554,10164,4716,27037,46141,25847,44039,25579,42907,25785,42285,25479,41199,24919,40327,26871,41766,25854,40038
214777,"Pennsylvania State University-Main Campus",18436,33664,1840,11280,4788,17900,32382,1840,11230,4788,17514,31346,1840,10926,4788,17502,30452,1760,10548,4788,16992,29566,1696,10116,4788,16444,28746,1568,9702,4140,15984,28066,1536,9432,4050,15250,27114,1456,9054,3924,36344,51572,35758,50240,35068,48900,34598,47548,33592,46166,31854,44156,31002,43084,29684,41548
243780,"Purdue University-Main Campus",9992,28794,1160,10030,1630,10002,28804,1220,10030,1780,10002,28804,1220,10030,1780,10002,28804,1210,10030,1760,9992,28794,1200,10300,1750,9900,28702,1370,10378,1820,9478,27646,1330,9510,2430,9070,26622,1270,9120,2360,22812,41614,23032,41834,23032,41834,23002,41804,23242,42044,23468,42270,22748,40916,21820,39372
186380,"Rutgers University-New Brunswick",14638,30579,1350,12452,3137,14372,30023,1350,12260,3013,14131,29521,1350,12054,2863,13813,28591,1450,11749,2921,13499,27523,1550,11578,2841,13073,26393,1550,11412,2763,12754,25416,1550,11262,2687,12582,24044,1474,11216,2428,31577,47518,30995,46646,30398,45788,29933,44711,29468,43492,28798,42118,28253,40915,27700,39162
196097,"Stony Brook University",9257,26767,900,13446,1868,8999,26239,900,12882,1868,8855,23935,900,12032,1868,8430,21850,900,11648,1868,7995,19935,900,11364,1868,7560,18180,900,10934,1868,6994,16444,900,10574,1868,6580,14990,900,10142,1868,25471,42981,24649,41889,23655,38735,22846,36266,22127,34067,21262,31882,20336,29786,19490,27900
221838,"Tennessee State University",7776,21132,2500,7500,3500,7256,19976,2300,7320,3345,7112,19832,2100,6910,3345,6930,19650,2100,6702,3332,6498,19218,1985,6310,2900,6426,18954,1985,6120,2900,6088,18616,1800,5910,2800,5704,18232,1800,5760,2400,21276,34632,20221,32941,19467,32187,19064,31784,17693,30413,17431,29959,16598,29126,15664,28192
